hedef,ufuk,sera,esik_turu,kural,esik,yon,risk,aksiyon,kisit,guven,guven_gerekce,aralik_genislik,kaynak
Tair,3h,AICU,ZARF,Tair > 27.900,27.9,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,AICU,ZARF,Tair < 17.900,17.9,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,Automatoes,ZARF,Tair > 31.100,31.1,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,Automatoes,ZARF,Tair < 16.400,16.4,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,Digilog,ZARF,Tair > 28.200,28.2,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,Digilog,ZARF,Tair < 17.300,17.3,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,IUACAAS,ZARF,Tair > 28.400,28.4,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,IUACAAS,ZARF,Tair < 15.700,15.7,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,Reference,ZARF,Tair > 27.900,27.9,yuksek,Bu seranin normal calisma araliginin ustune cikiyor,Havalandirmayi artir veya perde ile golgele,Havalandirma nem ve CO2 kaybina yol acar,KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
Tair,3h,Reference,ZARF,Tair < 16.000,16.0,dusuk,Bu seranin normal calisma araliginin altina iniyor,Isitmayi artir veya enerji perdesini kapat,Isitma en buyuk enerji kalemidir (bkz. strateji raporu),KALITATIF,"kapsama 0.93, aralik/deger %25",5.406,veri (sera p5-p95)
