hedef,ufuk,aile,kriter,olay,TP,FP,FN,precision,prec_alt_sinir,recall
Tair,6h,IKLIM,dokunma,1087,854,203,233,0.808,0.783,0.786
Tair,3h,IKLIM,dokunma,780,611,180,169,0.772,0.742,0.783
CO2air,6h,IKLIM,dokunma,1341,680,253,661,0.729,0.699,0.507
CO2air,3h,IKLIM,dokunma,966,500,192,466,0.723,0.688,0.518
Rhair,3h,IKLIM,dokunma,841,532,243,309,0.686,0.653,0.633
HumDef,3h,IKLIM,dokunma,717,519,297,198,0.636,0.602,0.724
Rhair,6h,IKLIM,dokunma,1156,774,447,382,0.634,0.607,0.67
HumDef,6h,IKLIM,dokunma,974,700,418,274,0.626,0.597,0.719
WC_slab2,3h,KOK,surekli,254,223,45,31,0.832,0.783,0.878
EC_slab2,3h,KOK,surekli,215,210,51,5,0.805,0.752,0.977
WC_slab1,3h,KOK,surekli,239,180,45,59,0.8,0.743,0.753
t_slab1,3h,KOK,surekli,309,230,60,79,0.793,0.743,0.744
t_slab2,3h,KOK,surekli,281,201,54,80,0.788,0.734,0.715
EC_slab1,3h,KOK,surekli,260,250,93,10,0.729,0.679,0.962
t_slab2,6h,KOK,surekli,103,56,24,47,0.7,0.592,0.544
WC_slab2,6h,KOK,surekli,148,113,51,35,0.689,0.615,0.764
WC_slab1,6h,KOK,surekli,130,77,40,53,0.658,0.568,0.592
t_slab1,6h,KOK,surekli,111,71,39,40,0.645,0.553,0.64
EC_slab1,6h,KOK,surekli,211,199,121,12,0.622,0.568,0.943
EC_slab2,6h,KOK,surekli,176,143,129,33,0.526,0.466,0.812
